times=104,loss=0.0344,accu=0.0799,lr=0.007342,decay=0.000002overfit rate = 20%
times=105,loss=0.0344,accu=0.0799,lr=0.007320,decay=0.000002overfit rate = 35%
times=106,loss=0.0344,accu=0.0799,lr=0.007298,decay=0.000002overfit rate = 10%
times=107,loss=0.0344,accu=0.0799,lr=0.007276,decay=0.000002overfit rate = 100%
Saved times=108,loss=0.0335,accu=0.0800,lr=0.007254,decay=0.000002overfit rate = 0%
times=109,loss=0.0335,accu=0.0800,lr=0.007233,decay=0.000002overfit rate = 10%
times=110,loss=0.0335,accu=0.0800,lr=0.007211,decay=0.000002overfit rate = 95%
times=111,loss=0.0335,accu=0.0800,lr=0.007189,decay=0.000002overfit rate = 95%
times=112,loss=0.0335,accu=0.0800,lr=0.007168,decay=0.000002overfit rate = 20%
times=113,loss=0.0335,accu=0.0800,lr=0.007146,decay=0.000002overfit rate = 75%
times=114,loss=0.0335,accu=0.0800,lr=0.007125,decay=0.000002overfit rate = 25%
Saved times=115,loss=0.0331,accu=0.0803,lr=0.007103,decay=0.000002overfit rate = 0%
times=116,loss=0.0331,accu=0.0803,lr=0.007082,decay=0.000002overfit rate = 0%
times=117,loss=0.0331,accu=0.0803,lr=0.007061,decay=0.000002overfit rate = 65%
times=118,loss=0.0331,accu=0.0803,lr=0.007040,decay=0.000002overfit rate = 15%
times=119,loss=0.0331,accu=0.0803,lr=0.007019,decay=0.000002overfit rate = 20%
times=120,loss=0.0331,accu=0.0803,lr=0.006998,decay=0.000002overfit rate = 20%
